"ID","Inj. Volume","Initial.CO2","Final.CO2","Delta.CO2","Initial.CH4","Final. CH4","Delta.CH4","Eff.Volume","Analysis Dilution","pCO2 raw (ppm)","pCH4 raw (ppb)","pCH4 (ppm)"
"13: drying",1,429.45,441.11,11.66,1932.35,1950.73,18.3800000000001,47,1,989.130000000001,1304.97000000001,1.30497000000001
"8: wetting",1,432.4,821.21,388.81,1932.9,1949.47,16.5699999999999,47,1,19095.28,1600,1.6
"3: t-zero",1,429.66,869.4,439.74,1931.86,1950.24,18.3800000000001,47,1,21537.18,1733.26000000001,1.73326000000001
"17: d-rewetting",1,428.09,928.31,500.22,1932.03,1946.21,14.1800000000001,47,1,24438.65,1594.77,1.59477
"12: drying",1,429.86,435.18,5.31999999999999,1932.01,1947.37,15.3599999999999,47,1,685.22,1157.1,1.1571
"7: wetting",1,427.56,819.05,391.49,1932.07,1950.69,18.6200000000001,47,1,19219.08,1694.19000000001,1.69419000000001
"2: t-zero",1,429.04,882.54,453.5,1931.98,1940.82,8.83999999999992,47,1,22197.04,1298.02,1.29802
"22: t-zero",1,427.3,757.84,330.54,1931.22,1942.84,11.6199999999999,47,1,16293.22,1303.98,1.30398
"1: t-zero",1,429.87,817.25,387.38,1931.66,1946.53,14.8699999999999,47,1,19024.11,1516.13999999999,1.51613999999999
"6: wetting",1,425.82,645.8,219.98,1931.89,1945.1,13.2099999999998,47,1,10984.86,1266.66999999999,1.26666999999999
"11: drying",1,429.83,435.32,5.49000000000001,1932.35,1936.61,4.25999999999999,47,1,693.35,635.54,0.63554
"16: d-rewetting",1,428.15,909.16,481.01,1932.17,1954.88,22.71,47,1,23516.63,1976.53,1.97653
"21: t-zero",1,426.73,984.29,557.56,1932.34,1944.13,11.7900000000002,47,1,27189.61,1538.42000000001,1.53842000000001
