"No.","Info","Name","Method","weight_mg","N_area","C_area","N_factor","C_factor","N_perc","C_perc","C_N_ratio","Memo","Date       Time","Moisture  [%]"
16,"Nu","Tray1-A9","5mg90sIRMS",5.06,551,4180,0.9111,0.9453,0.26,2.86,10.9586,,2021-03-18 00:27:19,0
17,,"Tray1-A10","5mg90sIRMS",5.546,612,4289,0.9111,0.9453,0.26,2.68,10.1279,,2021-03-18 00:39:27,0
18,"Nu","Tray1-A11","5mg90sIRMS",5.076,549,4114,0.9111,0.9453,0.26,2.81,10.8337,,2021-03-18 00:51:35,0
19,"Nu","Tray1-A12","5mg90sIRMS",3.365,572,4116,0.9111,0.9453,0.41,4.23,10.3896,"skip",2021-03-18 01:03:46,0
20,"Nu","Tray1-B1","5mg90sIRMS",5.401,567,4144,0.9111,0.9453,0.25,2.66,10.5597,,2021-03-18 01:15:52,0
21,"Nu","Tray1-B2","5mg90sIRMS",5.04,549,3973,0.9111,0.9453,0.26,2.73,10.4609,,2021-03-18 01:27:56,0
22,"Nu,Cu","Tray1-B3","2mg70sIRMS",0.032,133,447,0.9111,0.9453,9.93,48.54,4.8895,,2021-03-18 01:40:08,0
23,"Nu,Cu","Tray1-B4","2mg70sIRMS",0.034,168,429,0.9111,0.9453,11.87,43.84,3.694,,2021-03-18 01:52:09,0
24,"Nu,Cu","mt","2mg70sIRMS",100,87,44,0.9111,0.9453,0,0,0.7265,,2021-03-18 02:04:22,0
25,"Nu","Tray1-B5","5mg90sIRMS",5.024,564,4448,0.9111,0.9453,0.27,3.06,11.3991,,2021-03-18 02:16:24,0
26,"Nu","Tray1-B6","5mg90sIRMS",4.983,563,4116,0.9111,0.9453,0.27,2.86,10.5565,,2021-03-18 02:28:30,0
27,"Nu","Tray1-B7","5mg90sIRMS",5.264,547,4709,0.9111,0.9453,0.25,3.1,12.4408,,2021-03-18 02:40:41,0
28,"Nu","Tray1-B8","5mg90sIRMS",5.041,549,3965,0.9111,0.9453,0.26,2.72,10.4277,,2021-03-18 02:52:51,0
29,"Nu","Tray1-B9","5mg90sIRMS",5.318,533,4048,0.9111,0.9453,0.24,2.64,10.9765,,2021-03-18 03:04:56,0
30,"Nu","Tray1-B10","5mg90sIRMS",5.161,567,4174,0.9111,0.9453,0.26,2.8,10.63,,2021-03-18 03:17:09,0
31,"Nu,Cu","Tray1-B11","2mg70sIRMS",0.031,137,381,0.9111,0.9453,10.62,42.67,4.019,,2021-03-18 03:29:07,0
32,,"runin","2mg70sIRMS",0.488,2089,5137,0.9111,0.9453,10.18,36.44,3.5805,,2021-03-18 03:41:17,0
33,"Nu","Tray1-C1","5mg90sIRMS",5.493,555,4453,0.9111,0.9453,0.24,2.81,11.6018,,2021-03-18 03:53:20,0
34,"Nu","Tray1-C2","5mg90sIRMS",5.035,534,4039,0.9111,0.9453,0.25,2.78,10.9323,,2021-03-18 04:05:23,0
35,"Nu","Tray1-C3","5mg90sIRMS",5.343,529,4298,0.9111,0.9453,0.24,2.78,11.7326,,2021-03-18 04:17:29,0
36,"Nu","Tray1-C4","5mg90sIRMS",4.935,490,3584,0.9111,0.9453,0.24,2.52,10.5774,,2021-03-18 04:29:44,0
37,"Nu","Tray1-C5","5mg90sIRMS",5.324,475,3723,0.9111,0.9453,0.21,2.42,11.3229,,2021-03-18 04:41:47,0
38,"Nu","Tray1-C6","5mg90sIRMS",5.314,491,3927,0.9111,0.9453,0.22,2.56,11.5611,,2021-03-18 04:53:49,0
39,,"aspartic","2mg70sIRMS",0.467,1674,4257,1.1243,1.0811,10.52,36.09,3.4306,,2021-03-18 05:05:57,0
40,"Nu,Cu","mt","2mg70sIRMS",100,73,38,1.1243,1.0811,0,0,0.7066,,2021-03-18 05:18:05,0
41,"Nu,Cu","Tray1-C8","2mg70sIRMS",0.043,187,595,1.1243,1.0811,12.85,54.97,4.2769,,2021-03-18 05:30:04,0
42,"Nu","Tray1-C9","5mg90sIRMS",5.235,503,3682,1.1243,1.0811,0.28,2.79,9.7949,,2021-03-18 05:42:10,0
43,"Nu","Tray1-C10","5mg90sIRMS",5.165,401,3758,1.1243,1.0811,0.23,2.88,12.5444,,2021-03-18 05:54:14,0
44,"Nu","Tray1-C11","5mg90sIRMS",5.128,488,4031,1.1243,1.0811,0.28,3.11,11.0704,,2021-03-18 06:06:20,0
45,"Nu","Tray1-C12","5mg90sIRMS",5.032,465,3823,1.1243,1.0811,0.27,3.01,10.9976,,2021-03-18 06:18:26,0
46,"Nu","Tray1-D1","5mg90sIRMS",4.991,468,3744,1.1243,1.0811,0.28,2.97,10.7092,,2021-03-18 06:30:32,0
47,"Nu","Tray1-D2","5mg90sIRMS",4.887,456,3603,1.1243,1.0811,0.28,2.92,10.5813,,2021-03-18 06:42:34,0
48,"Nu,Cu","Tray1-D3","5mg90sIRMS",0.048,215,636,1.1243,1.0811,13.25,52.65,3.9729,,2021-03-18 06:54:40,0
49,"Nu,Cu","Tray1-D4","5mg90sIRMS",0.038,202,592,1.1243,1.0811,15.69,61.86,3.9424,,2021-03-18 07:06:49,0
50,"Nu","Tray1-D5","5mg90sIRMS",5.024,502,3641,1.1243,1.0811,0.3,2.87,9.7138,,2021-03-18 07:18:59,0
51,"Nu","Tray1-D6","5mg90sIRMS",5.184,479,3777,1.1243,1.0811,0.27,2.89,10.5543,,2021-03-18 07:31:03,0
52,"Nu","Tray1-D7","5mg90sIRMS",5.179,486,3718,1.1243,1.0811,0.28,2.84,10.2393,,2021-03-18 07:43:08,0
53,"Nu","Tray1-D8","5mg90sIRMS",5.47,553,4202,1.1243,1.0811,0.3,3.04,10.1797,,2021-03-18 07:55:09,0
54,"Nu","Tray1-D9","5mg90sIRMS",5.498,537,4316,1.1243,1.0811,0.29,3.11,10.7697,,2021-03-18 08:07:14,0
55,"Nu","Tray1-D10","5mg90sIRMS",5.123,523,3790,1.1243,1.0811,0.3,2.93,9.7118,,2021-03-18 08:19:15,0
56,"Nu,Cu","Tray1-D11","2mg70sIRMS",0.049,212,609,1.1243,1.0811,12.8,49.37,3.8582,,2021-03-18 08:31:26,0
57,"Nu,Cu","Tray1-D12","2mg70sIRMS",0.048,216,635,1.1243,1.0811,13.28,52.49,3.9536,,2021-03-18 08:43:28,0
58,,"aspartic","2mg70sIRMS",0.658,2832,6944,0.9369,0.933,10.52,36.09,3.4306,,2021-03-18 08:55:36,0
59,"Nu,Cu","mt","2mg70sIRMS",100,48,49,0.9369,0.933,0,0,1.3941,,2021-03-18 09:07:41,0
60,"Nu","mt","2mg70sIRMS",100,39,9517,0.9369,0.933,0,0.33,343.2405,"opened connections during C peak",2021-03-18 12:44:14,0
61,"Cu","mt","Blank without O",100,4728,4,0.9369,0.933,0.12,0,0.0012,,2021-03-18 13:45:10,0
62,"Nu,Cu","mt","Blank without O",100,359,18,0.9369,0.933,0.01,0,0.0715,,2021-03-18 13:55:54,0
63,"Nu,Cu","mt","2mg70sIRMS",100,25,30,0.9369,0.933,0,0,1.6627,,2021-03-18 14:08:13,0
64,"Nu,Cu","mt","2mg70sIRMS",100,29,36,0.9369,0.933,0,0,1.7189,,2021-03-18 14:20:13,0
65,,"runin","2mg70sIRMS",0.543,2514,6220,0.9369,0.933,11.32,39.16,3.4592,,2021-03-18 14:32:19,0
66,,"runin","2mg70sIRMS",0.448,1916,4777,0.9369,0.933,10.46,36.43,3.484,,2021-03-18 14:44:22,0
67,,"aspartic","2mg70sIRMS",0.494,2116,5195,0.9411,0.937,10.52,36.09,3.4306,,2021-03-18 14:56:32,0
68,,"aspartic","2mg70sIRMS",0.552,2364,5823,0.9416,0.934,10.52,36.09,3.4306,,2021-03-18 15:08:37,0
69,,"aspartic","2mg70sIRMS",0.591,2556,6211,0.9321,0.9374,10.52,36.09,3.4306,,2021-03-18 15:20:49,0
70,"Nu,Cu","Tray2-A1-cond","2mg70sIRMS",0.033,181,527,0.9382,0.9361,13.54,54.94,4.0584,,2021-03-18 15:32:55,0
71,"Nu,Cu","Tray2-A2-cond","2mg70sIRMS",0.05,221,655,0.9382,0.9361,10.93,45.02,4.1192,,2021-03-18 15:44:57,0
72,"Nu,Cu","Tray2-A3-cond","2mg70sIRMS",0.042,181,560,0.9382,0.9361,10.61,45.87,4.322,,2021-03-18 15:57:04,0
73,"Nu,Cu","Tray2-A4-cond","2mg70sIRMS",0.045,218,538,0.9382,0.9361,11.98,41.09,3.4315,,2021-03-18 16:09:12,0
74,"Nu,Cu","Tray2-A5-mt","2mg70sIRMS",100,70,74,0.9382,0.9361,0,0,1.4772,,2021-03-18 16:21:13,0
75,"Nu,Cu","Tray2-A6","2mg70sIRMS",0.071,278,938,0.9382,0.9361,9.67,45.45,4.6984,,2021-03-18 16:33:13,0
76,"Nu,Cu","Tray2-A7","2mg70sIRMS",0.029,188,486,0.9382,0.9361,15.97,57.64,3.6093,,2021-03-18 16:45:20,0
77,,"runin","2mg70sIRMS",0.387,1669,4122,0.9382,0.9361,10.57,36.51,3.4557,,2021-03-18 16:57:23,0
78,"Nu","Tray2-A9","5mg90sIRMS",4.774,500,4206,0.9382,0.9361,0.26,3.02,11.6978,,2021-03-18 17:19:10,0
79,"Nu","Tray2-A10","5mg90sIRMS",5.299,506,3974,0.9382,0.9361,0.24,2.57,10.9091,,2021-03-18 17:31:13,0
80,"Nu","Tray2-A11","5mg90sIRMS",5.284,539,3977,0.9382,0.9361,0.25,2.58,10.2592,,2021-03-18 17:43:12,0
81,"Nu","Tray2-A12","5mg90sIRMS",5.287,498,3655,0.9382,0.9361,0.23,2.37,10.1907,,2021-03-18 17:55:16,0
82,"Nu","Tray2-B1","5mg90sIRMS",5.247,536,3917,0.9382,0.9361,0.25,2.56,10.1442,,2021-03-18 18:07:17,0
83,"Nu","Tray2-B2","5mg90sIRMS",5.628,534,4137,0.9382,0.9361,0.23,2.52,10.7642,,2021-03-18 18:19:22,0
84,"Nu,Cu","mt","Blank without O",100,38,20,0.9382,0.9361,0,0,0.7539,,2021-03-18 18:29:17,0
85,"Nu,Cu","Tray2-B3","2mg70sIRMS",0.025,161,444,0.9382,0.9361,15.92,61.11,3.8381,,2021-03-18 18:41:28,0
86,"Nu,Cu","Tray2-B4","2mg70sIRMS",0.07,236,900,0.9382,0.9361,8.32,44.19,5.3081,,2021-03-18 19:08:08,0
87,"Nu","Tray2-B5","5mg90sIRMS",5.054,520,3819,0.9382,0.9361,0.25,2.59,10.2059,,2021-03-18 19:20:12,0
88,"Nu","Tray2-B6","5mg90sIRMS",5.479,586,4088,0.9382,0.9361,0.26,2.56,9.6964,,2021-03-18 19:32:15,0
89,"Nu","Tray2-B7","5mg90sIRMS",5.732,606,4302,0.9382,0.9361,0.26,2.57,9.8667,,2021-03-18 19:44:21,0
90,"Nu","Tray2-B8","5mg90sIRMS",4.964,487,3578,0.9382,0.9361,0.24,2.47,10.2092,,2021-03-18 19:56:30,0
91,"Nu","Tray2-B9","5mg90sIRMS",5.727,582,4067,0.9382,0.9361,0.25,2.43,9.7064,,2021-03-18 20:08:36,0
92,"Nu","Tray2-B10","5mg90sIRMS",4.805,502,3439,0.9382,0.9361,0.26,2.46,9.529,,2021-03-18 20:20:38,0
93,"Nu,Cu","Tray2-B11","2mg70sIRMS",0.049,256,737,0.9382,0.9361,12.9,51.71,4.0092,,2021-03-18 20:32:40,0
94,,"aspartic","2mg70sIRMS",0.374,1560,3882,0.9658,0.9493,10.52,36.09,3.4306,,2021-03-18 20:44:44,0
95,"Nu","Tray2-C1","5mg90sIRMS",5.66,597,4210,0.9658,0.9493,0.27,2.59,9.6492,,2021-03-18 20:56:52,0
96,"Nu","Tray2-C2","2mg70sIRMS",5.188,559,4104,0.9658,0.9493,0.27,2.75,10.0431,,2021-03-18 21:08:56,0
97,"Nu","Tray2-C3","2mg70sIRMS",4.676,504,3574,0.9658,0.9493,0.27,2.66,9.7154,,2021-03-18 21:20:59,0
98,"Nu","Tray2-C4","2mg70sIRMS",4.402,455,3619,0.9658,0.9493,0.26,2.86,10.8983,,2021-03-18 21:33:12,0
99,"Nu","Tray2-C5","2mg70sIRMS",4.812,498,3758,0.9658,0.9493,0.26,2.72,10.3273,,2021-03-18 21:45:22,0
100,"Nu","Tray2-C6","2mg70sIRMS",4.97,475,3769,0.9658,0.9493,0.24,2.64,10.8671,,2021-03-18 21:57:24,0
101,"Nu,Cu","mt","Blank without O",100,46,15,0.9658,0.9493,0,0,0.4424,,2021-03-18 22:07:17,0
102,,"runin","2mg70sIRMS",0.457,2004,4852,0.9658,0.9493,11.05,36.91,3.3395,,2021-03-18 22:19:32,0
103,"Nu,Cu","Tray2-C8","2mg70sIRMS",0.024,128,319,0.9658,0.9493,13.52,46.36,3.4277,,2021-03-18 22:31:32,0
104,"Nu","Tray2-C9","5mg90sIRMS",4.656,498,3584,0.9658,0.9493,0.27,2.68,9.8593,,2021-03-18 22:43:35,0
105,"Nu","Tray2-C10","5mg90sIRMS",4.757,538,3899,0.9658,0.9493,0.29,2.85,9.9198,,2021-03-18 22:55:39,0
106,"Nu","Tray2-C11","5mg90sIRMS",4.66,499,3550,0.9658,0.9493,0.27,2.65,9.7442,,2021-03-18 23:07:47,0
107,"Nu","Tray2-C12","5mg90sIRMS",5.471,552,4026,0.9658,0.9493,0.26,2.56,9.9785,,2021-03-18 23:19:48,0
108,"Nu","Tray2-D1","5mg90sIRMS",3.993,430,3065,0.9658,0.9493,0.27,2.67,9.7717,,2021-03-18 23:31:52,0
109,"Nu","Tray2-D2","5mg90sIRMS",4.668,493,3605,0.9658,0.9493,0.27,2.69,10.0051,,2021-03-18 23:44:01,0
110,"Nu,Cu","Tray2-D3","2mg70sIRMS",0.024,147,322,0.9658,0.9493,15.59,46.77,2.9998,,2021-03-18 23:56:04,0
111,"Nu,Cu","Tray2-D4","2mg70sIRMS",0.045,212,626,0.9658,0.9493,11.95,48.47,4.0574,,2021-03-19 00:08:04,0
112,"Nu","Tray2-D5","5mg90sIRMS",4.984,538,4140,0.9658,0.9493,0.27,2.89,10.5374,,2021-03-19 00:20:11,0
113,"Nu","Tray2-D6","5mg90sIRMS",4.914,484,3505,0.9658,0.9493,0.25,2.48,9.9115,,2021-03-19 00:32:12,0
114,"Nu","Tray2-D7","5mg90sIRMS",5.637,503,3910,0.9658,0.9493,0.23,2.41,10.6428,,2021-03-19 00:44:19,0
115,"Nu","Tray2-D8","5mg90sIRMS",5.001,454,3517,0.9658,0.9493,0.23,2.45,10.6073,,2021-03-19 00:56:23,0
116,"Nu","Tray2-D9","5mg90sIRMS",5.975,594,4425,0.9658,0.9493,0.25,2.57,10.1906,,2021-03-19 01:08:30,0
117,"Nu","Tray2-D10","5mg90sIRMS",4.707,463,3483,0.9658,0.9493,0.25,2.57,10.3007,,2021-03-19 01:20:37,0
118,"Nu,Cu","Tray2-D11","2mg70sIRMS",0.041,177,514,0.9658,0.9493,10.95,43.74,3.9939,,2021-03-19 01:32:40,0
119,"Nu,Cu","Tray2-D12","2mg70sIRMS",0.062,305,836,0.9658,0.9493,12.5,47.03,3.762,,2021-03-19 01:44:48,0
120,,"aspartic","2mg70sIRMS",0.363,1573,3918,0.93,0.9129,10.52,36.09,3.4306,,2021-03-19 01:56:56,0
121,"Nu,Cu","mt","Blank without O",100,66,22,0.93,0.9129,0,0,0.4528,,2021-03-19 02:06:49,0
122,"Nu,Cu","mt","Blank without O",100,44,14,0.93,0.9129,0,0,0.4444,,2021-03-19 12:39:18,0
123,"Nu,Cu","mt","2mg70sIRMS",100,52,14,0.93,0.9129,0,0,0.3691,,2021-03-19 12:51:30,0
124,"Nu,Cu","mt","2mg70sIRMS",100,55,38,0.93,0.9129,0,0,0.9379,,2021-03-19 13:03:33,0
125,,"runin","2mg70sIRMS",0.559,2326,5723,0.93,0.9129,10.1,34.23,3.3907,,2021-03-19 13:15:40,0
126,,"runin","2mg70sIRMS",0.522,2199,5358,0.93,0.9129,10.22,34.32,3.3575,,2021-03-19 13:27:43,0
127,,"aspartic","2mg70sIRMS",0.473,2073,5054,0.9198,0.9222,10.52,36.09,3.4306,,2021-03-19 13:39:43,0
128,,"aspartic","2mg70sIRMS",0.582,2560,6153,0.9165,0.9319,10.52,36.09,3.4306,,2021-03-19 13:51:42,0
129,,"aspartic","2mg70sIRMS",0.514,2269,5463,0.9131,0.9271,10.52,36.09,3.4306,,2021-03-19 14:03:51,0
130,"Nu,Cu","Tray3-A1-cond","2mg70sIRMS",0.034,145,466,0.9164,0.9271,10.3,46.69,4.5334,,2021-03-19 14:27:02,0
131,"Nu,Cu","Tray3-A2-cond","2mg70sIRMS",0.061,233,769,0.9164,0.9271,9.19,42.92,4.6714,,2021-03-19 14:39:07,0
132,"Nu,Cu","Tray3-A3-cond","2mg70sIRMS",0.039,179,492,0.9164,0.9271,11.06,43,3.8866,,2021-03-19 14:51:08,0
133,"Nu,Cu","Tray3-A4-cond","2mg70sIRMS",0.038,172,498,0.9164,0.9271,10.91,44.67,4.0949,,2021-03-19 15:03:10,0
134,"Nu,Cu","Tray3-A5-MT","2mg70sIRMS",100,74,53,0.9164,0.9271,0,0,1.0069,,2021-03-19 15:15:15,0
135,"Nu,Cu","Tray3-A6","2mg70sIRMS",0.046,232,634,0.9164,0.9271,12.17,46.97,3.8604,,2021-03-19 15:27:21,0
136,"Nu,Cu","Tray3-A7","2mg70sIRMS",0.062,266,786,0.9164,0.9271,10.32,43.17,4.1812,,2021-03-19 15:39:27,0
137,,"runin","2mg70sIRMS",0.568,2450,5989,0.9164,0.9271,10.31,35.81,3.4717,,2021-03-19 15:51:28,0
138,"Nu","Tray3-A9","5mg90sIRMS",5.002,519,3901,0.9164,0.9271,0.25,2.65,10.5851,,2021-03-19 16:03:34,0
139,"Nu","Tray3-A10","5mg90sIRMS",5.694,559,4331,0.9164,0.9271,0.24,2.58,10.9144,,2021-03-19 16:15:34,0
140,"Nu","Tray3-A11","5mg90sIRMS",5.177,551,3900,0.9164,0.9271,0.26,2.56,9.9697,,2021-03-19 16:27:36,0
141,"Nu","Tray3-A12","5mg90sIRMS",5.416,605,4653,0.9164,0.9271,0.27,2.92,10.8271,,2021-03-19 16:39:43,0
142,"Nu","Tray3-B1","5mg90sIRMS",4.795,482,3677,0.9164,0.9271,0.24,2.6,10.7376,,2021-03-19 16:51:47,0
143,"Nu","Tray3-B2","5mg90sIRMS",5.315,499,3894,0.9164,0.9271,0.23,2.49,10.9972,,2021-03-19 17:03:49,0
144,"Nu,Cu","Tray3-B3","5mg90sIRMS",0.03,140,464,0.9164,0.9271,11.27,52.69,4.6767,,2021-03-19 17:15:56,0
145,"Nu,Cu","Tray3-B4","5mg90sIRMS",0.038,152,492,0.9164,0.9271,9.66,44.09,4.5626,,2021-03-19 17:27:53,0
146,"Nu,Cu","mt","2mg70sIRMS",100,59,38,0.9164,0.9271,0,0,0.9001,,2021-03-19 17:39:58,0
147,"Nu","Tray3-B5","5mg90sIRMS",4.719,449,3566,0.9164,0.9271,0.23,2.57,11.1797,,2021-03-19 17:51:58,0
148,"Nu","Tray3-B6","5mg90sIRMS",5.404,515,4048,0.9164,0.9271,0.23,2.54,11.0798,,2021-03-19 18:04:04,0
149,"Nu","Tray3-B7","5mg90sIRMS",4.738,443,3469,0.9164,0.9271,0.23,2.49,11.0265,,2021-03-19 18:16:09,0
150,"Nu","Tray3-B8","5mg90sIRMS",5.212,440,3840,0.9164,0.9271,0.2,2.5,12.2916,,2021-03-19 18:28:17,0
151,"Nu","Tray3-B9","5mg90sIRMS",5.198,480,3810,0.9164,0.9271,0.22,2.49,11.1759,,2021-03-19 18:40:24,0
152,"Nu","Tray3-B10","5mg90sIRMS",5.271,480,3855,0.9164,0.9271,0.22,2.48,11.3231,,2021-03-19 18:52:24,0
153,"Nu,Cu","Tray3-B11","2mg70sIRMS",0.03,110,425,0.9164,0.9271,8.81,48.23,5.4757,,2021-03-19 19:04:32,0
154,"Nu","Tray3-C1","5mg90sIRMS",5.77,580,4374,0.9164,0.9271,0.24,2.57,10.6253,,2021-03-19 19:16:33,0
155,"Nu","Tray3-C2","5mg90sIRMS",5.035,510,3887,0.9164,0.9271,0.24,2.62,10.7486,,2021-03-19 19:28:33,0
156,"Nu","Tray3-C3","5mg90sIRMS",5.627,530,4146,0.9164,0.9271,0.23,2.5,11.0216,,2021-03-19 19:40:43,0
157,"Nu,Cu","mt","2mg70sIRMS",100,53,37,0.9164,0.9271,0,0,0.9791,,2021-03-19 19:52:43,0
158,"Nu,Cu","Tray3-C8","2mg70sIRMS",0.059,173,625,0.9164,0.9271,7.08,36.09,5.0992,"skip",2021-03-19 20:05:13,0
159,,"mt","2mg70s",100,848,0,0.9164,0.9271,0.02,0,0,,2021-03-20 13:44:16,0
160,"Cu","mt","2mg70sIRMS",100,38237,71,0.9164,0.9271,0.91,0,0.0026,,2021-03-22 16:11:25,0
161,"Nu,Cu","mt","2mg70sIRMS",100,205,33,0.9164,0.9271,0,0,0.2263,,2021-03-22 16:23:28,0
162,"Nu,Cu","mt","2mg70sIRMS",100,69,34,0.9164,0.9271,0,0,0.7032,,2021-03-22 16:35:29,0
163,,"runin","2mg70sIRMS",0.381,1595,4043,0.9164,0.9271,10.02,36.03,3.5968,,2021-03-22 16:47:27,0
164,,"runin","2mg70sIRMS",0.398,1662,4095,0.9164,0.9271,9.99,34.94,3.4967,,2021-03-22 16:59:25,0
165,,"aspartic","2mg70sIRMS",0.438,1576,3952,1.1198,1.0922,10.52,36.09,3.4306,,2021-03-22 17:11:27,0
166,,"aspartic","2mg70sIRMS",0.614,2647,6489,0.9351,0.9319,10.52,36.09,3.4306,,2021-03-22 17:23:24,0
167,,"aspartic","2mg70sIRMS",0.422,1812,4529,0.9389,0.9184,10.52,36.09,3.4306,,2021-03-22 17:35:29,0
168,"Nu,Cu","Tray4-A1-cond","2mg70sIRMS",0.042,210,566,0.9979,0.9808,13.15,48.55,3.6919,,2021-03-22 17:47:33,0
169,"Nu,Cu","Tray4-A2-cond","2mg70sIRMS",0.065,237,842,0.9979,0.9808,9.55,46.67,4.8857,,2021-03-22 17:59:30,0
170,"Nu,Cu","Tray4-A3-cond","2mg70sIRMS",0.05,189,629,0.9979,0.9808,9.92,45.35,4.5723,,2021-03-22 18:11:33,0
171,"Nu,Cu","Tray4-A4-cond","2mg70sIRMS",0.063,258,808,0.9979,0.9808,10.75,46.19,4.2963,,2021-03-22 18:23:33,0
172,"Nu,Cu","Tray4-A5","2mg70sIRMS",100,41,63,0.9979,0.9808,0,0,2.13,,2021-03-22 18:35:37,0
173,"Nu,Cu","Tray4-A6","2mg70sIRMS",0.043,159,612,0.9979,0.9808,9.69,51.28,5.2906,,2021-03-22 18:47:38,0
174,"Nu,Cu","Tray4-A7","2mg70sIRMS",0.029,135,416,0.9979,0.9808,12.22,51.73,4.2339,,2021-03-22 18:59:45,0
175,"Nu","Tray4-A9","5mg90sIRMS",5.358,569,4326,0.9979,0.9808,0.28,2.9,10.4008,,2021-03-22 19:11:49,0
176,"Nu","Tray4-A10","5mg90sIRMS",5.423,554,4411,0.9979,0.9808,0.27,2.92,10.9005,,2021-03-22 19:23:55,0
177,"Nu","Tray4-A11","5mg90sIRMS",4.908,537,4073,0.9979,0.9808,0.29,2.98,10.3828,,2021-03-22 19:36:01,0
178,"Nu","Tray4-A12","5mg90sIRMS",4.853,576,4379,0.9979,0.9808,0.31,3.24,10.4109,,2021-03-22 19:48:09,0
179,,"aspartic","2mg70sIRMS",0.458,1957,4857,0.9433,0.9294,10.52,36.09,3.4306,,2021-03-22 20:00:13,0
180,"Nu","Tray4-B1","5mg90sIRMS",4.864,509,3995,0.9433,0.9294,0.26,2.8,10.7668,,2021-03-22 20:12:17,0
181,"Nu","Tray4-B2","5mg90sIRMS",4.893,498,3867,0.9433,0.9294,0.25,2.69,10.6508,,2021-03-22 20:24:19,0
182,"Nu,Cu","Tray4-B3","2mg70sIRMS",0.067,246,824,0.9433,0.9294,9.12,42.01,4.6076,,2021-03-22 20:36:17,0
183,"Nu,Cu","Tray4-B4","2mg70sIRMS",0.027,127,411,0.9433,0.9294,11.68,52.02,4.4561,,2021-03-22 20:48:16,0
184,"Nu","Tray4-B5","5mg90sIRMS",5.656,574,4275,0.9433,0.9294,0.25,2.57,10.2172,,2021-03-22 21:00:18,0
185,"Nu","Tray4-B6","5mg90sIRMS",4.72,491,3711,0.9433,0.9294,0.26,2.68,10.3626,,2021-03-22 21:12:22,0
186,"Nu","Tray4-B7","5mg90sIRMS",5.045,425,3793,0.9433,0.9294,0.21,2.56,12.2511,,2021-03-22 21:24:30,0
187,"Nu","Tray4-B8","5mg90sIRMS",5.388,568,4249,0.9433,0.9294,0.26,2.68,10.2636,,2021-03-22 21:36:42,0
188,"Nu","Tray4-B9","5mg90sIRMS",4.708,493,3647,0.9433,0.9294,0.26,2.64,10.1515,,2021-03-22 21:48:48,0
189,"Nu","Tray4-B10","5mg90sIRMS",4.861,493,3817,0.9433,0.9294,0.25,2.67,10.6192,,2021-03-22 22:00:55,0
190,"Nu,Cu","Tray4-B11","2mg70sIRMS",0.058,257,839,0.9433,0.9294,10.98,49.4,4.4982,,2021-03-22 22:12:59,0
191,,"aspartic","2mg70sIRMS",0.436,1896,4621,0.9267,0.9298,10.52,36.09,3.4306,,2021-03-22 22:25:06,0
192,,"Tray4-C1","5mg90sIRMS",5.631,664,4539,0.9267,0.9298,0.29,2.74,9.5649,,2021-03-22 22:37:08,0
193,"Nu","Tray4-C2","5mg90sIRMS",5.182,579,4332,0.9267,0.9298,0.27,2.85,10.4571,,2021-03-22 22:49:16,0
