"name","sample_type","sample_group","comparison","N2_height_nA","d15N_gas","d15N_air","CO2_height_nA","d13C_gas","d13C_VPDB"
"Tray6-C11","(Sample)","samples",FALSE,0.03,2.58,3.93,1.22,0.6,-27.38
"Tray6-C12","(Sample)","samples",FALSE,0.04,5.32,7.85,1.48,0.29,-27.71
"Tray6-D1","(Sample)","samples",FALSE,0.04,-0.43,-0.38,1.27,0.1,-27.92
"Tray6-D2","(Sample)","samples",FALSE,0.05,1.38,2.21,2.26,0.76,-27.21
"Tray6-D5","(Sample)","samples",FALSE,0.03,6.29,9.25,1.79,0.62,-27.36
"Tray6-D6","(Sample)","samples",FALSE,0.02,5.77,8.5,1.35,0.49,-27.5
"Tray6-D7","(Sample)","samples",FALSE,0.04,3.19,4.81,2.31,0.8,-27.17
"Tray6-D8","(Sample)","samples",FALSE,0.03,1.38,2.21,1.41,0.57,-27.41
"Tray6-D9","(Sample)","samples",FALSE,0.04,6.95,10.2,1.35,0.31,-27.69
"Tray6-D10","(Sample)","samples",FALSE,0.06,3.12,4.7,3.22,1.06,-26.89
"Tray7-A9","(Sample)","samples",FALSE,0.07,-2.11,-2.79,1.91,0.23,-27.77
"Tray7-A10","(Sample)","samples",FALSE,0.05,2.16,3.34,1.65,0.68,-27.29
"Tray7-A11","(Sample)","samples",FALSE,0.08,2.21,3.4,2.24,0.37,-27.62
"Tray7-A12","(Sample)","samples",FALSE,0.07,-1.56,-2,1.86,0.71,-27.26
"Tray7-B1","(Sample)","samples",FALSE,0.07,3.26,4.9,1.74,0.57,-27.41
"Tray7-B2","(Sample)","samples",FALSE,0.07,3.07,4.63,2.29,0.75,-27.22
"Tray7-B5","(Sample)","samples",FALSE,0.09,2.3,3.53,2.44,1.11,-26.83
"Tray7-B6","(Sample)","samples",FALSE,0.09,2.48,3.79,2.11,1.06,-26.89
"Tray7-B7","(Sample)","samples",FALSE,0.07,0.24,0.58,1.99,0.41,-27.58
"Tray7-B8","(Sample)","samples",FALSE,0.09,0.36,0.74,1.87,0.48,-27.5
"Tray7-B9","(Sample)","samples",FALSE,0.08,1.11,1.83,2.03,0.61,-27.37
"Tray7-B10","(Sample)","samples",FALSE,0.09,1.11,1.82,2.91,1.43,-26.49
"Tray7-C1","(Sample)","samples",FALSE,0.08,-3.23,-4.4,1.84,0.56,-27.42
"Tray7-C2","(Sample)","samples",FALSE,0.07,0.2,0.53,2.06,0.47,-27.52
"Tray7-C3","(Sample)","samples",FALSE,0.1,-4.13,-5.68,1.78,0.7,-27.27
"Tray7-C4","(Sample)","samples",FALSE,0.04,-0.23,-0.09,1.19,2.61,-25.23
"Tray7-C5","(Sample)","samples",FALSE,0.03,10.14,14.77,1.06,2.23,-25.64
"Tray7-C6","(Sample)","samples",FALSE,0.04,2.39,3.66,1.04,2.85,-24.97
"Tray8-A9","(Sample)","samples",FALSE,0.07,0.8,1.38,1.58,9.1,-18.28
"Tray8-A10","(Sample)","samples",FALSE,0.08,-0.12,0.06,1.12,13.37,-13.71
"Tray8-A11","(Sample)","samples",FALSE,0.07,1.48,2.36,1.33,12.27,-14.88
"Tray8-A12","(Sample)","samples",FALSE,0.09,-1.74,-2.26,1.18,25.85,-0.35
"Tray8-B1","(Sample)","samples",FALSE,0.07,0.14,0.43,0.8,29.95,4.04
"Tray8-B2","(Sample)","samples",FALSE,0.06,2.26,3.47,0.97,31.88,6.11
"Tray8-B5","(Sample)","samples",FALSE,0.07,2.1,3.25,0.81,16.5,-10.36
"Tray8-B6","(Sample)","samples",FALSE,0.07,1.1,1.82,1.04,15.53,-11.4
"Tray8-B7","(Sample)","samples",FALSE,0.05,3.58,5.36,0.94,16.45,-10.42
"Tray8-B8","(Sample)","samples",FALSE,0.06,0.32,0.69,1.16,14.45,-12.55
"Tray8-B9","(Sample)","samples",FALSE,0.05,5.16,7.62,1.13,14,-13.03
"Tray8-B10","(Sample)","samples",FALSE,0.06,0.65,1.17,1.07,14.74,-12.24
"Tray8-C1","(Sample)","samples",FALSE,0.06,3.76,5.62,1.47,7.11,-20.41
"Tray8-C2","(Sample)","samples",FALSE,0.06,-0.21,-0.07,0.9,9.34,-18.03
"Tray8-C3","(Sample)","samples",FALSE,0.07,1.94,3.02,0.9,10.3,-16.99
"Tray8-C4","(Sample)","samples",FALSE,0.04,-0.27,-0.15,1.34,40.17,14.98
"Tray8-C5","(Sample)","samples",FALSE,0.04,-4.45,-6.14,1.11,48,23.37
"Tray8-C6","(Sample)","samples",FALSE,0.03,3.36,5.04,1.07,48.56,23.96
"Tray8-C9","(Sample)","samples",FALSE,0.06,-4.13,-5.68,1.16,7.91,-19.55
"Tray8-C10","(Sample)","samples",FALSE,0.05,2.43,3.72,1.52,6.4,-21.17
"Tray8-C11","(Sample)","samples",FALSE,0.04,2.97,4.5,1.14,7.7,-19.78
"Tray8-C12","(Sample)","samples",FALSE,0.04,-2.79,-3.77,1.12,18.71,-8
"Tray8-D1","(Sample)","samples",FALSE,0.04,-0.47,-0.44,1.12,21.27,-5.25
"Tray8-D2","(Sample)","samples",FALSE,0.04,4.56,6.77,1.23,21.25,-5.27
"Tray8-D5","(Sample)","samples",FALSE,0.07,-1,-1.19,1.51,8.82,-18.58
"Tray8-D6","(Sample)","samples",FALSE,0.06,-2.95,-3.99,1.27,9.56,-17.79
"Tray8-D7","(Sample)","samples",FALSE,0.06,4.43,6.59,1.12,9.99,-17.33
"Tray8-D8","(Sample)","samples",FALSE,0.06,1.39,2.22,1.53,33.08,7.39
"Tray8-D9","(Sample)","samples",FALSE,0.04,-4.39,-6.05,1.32,32.59,6.87
"Tray8-D10","(Sample)","samples",FALSE,0.04,5.01,7.41,1.34,33.6,7.94
"Tray9-A9","(Sample)","samples",FALSE,0.05,5.85,8.61,1.88,64.06,40.55
"Tray9-A10","(Sample)","samples",FALSE,0.07,4.17,6.21,2.18,63.24,39.68
"Tray9-A11","(Sample)","samples",FALSE,0.06,7.62,11.16,2.24,42.07,17.01
"Tray9-A12","(Sample)","samples",FALSE,0.06,3.09,4.66,2.73,32.16,6.4
"Tray9-B1","(Sample)","samples",FALSE,0.05,4.76,7.05,2.28,41.21,16.09
"Tray9-B2","(Sample)","samples",FALSE,0.05,5.3,7.84,1.95,39.79,14.57
"Tray9-B5","(Sample)","samples",FALSE,0.05,2.08,3.21,2.13,39.84,14.63
"Tray9-B6","(Sample)","samples",FALSE,0.06,-3.86,-5.3,2.36,42.2,17.15
"Tray9-B7","(Sample)","samples",FALSE,0.05,4.29,6.38,2.24,43.44,18.48
"Tray9-B8","(Sample)","samples",FALSE,0.04,2.17,3.35,1.91,31.74,5.96
"Tray9-B9","(Sample)","samples",FALSE,0.05,5.51,8.12,1.96,34.67,9.09
"Tray9-B10","(Sample)","samples",FALSE,0.05,5.25,7.75,1.91,36.93,11.52
"Tray9-C1","(Sample)","samples",FALSE,0.05,3.29,4.95,2.16,31.11,5.29
"Tray9-C2","(Sample)","samples",FALSE,0.05,5.27,7.78,2.03,39.84,14.63
"Tray9-C3","(Sample)","samples",FALSE,0.05,0.61,1.1,1.95,40.86,15.72
"Tray9-C4","(Sample)","samples",FALSE,0.07,2.45,3.75,1.7,6.8,-20.74
"Tray9-C5","(Sample)","samples",FALSE,0.06,1.45,2.31,1.08,8.87,-18.53
"Tray9-C6","(Sample)","samples",FALSE,0.06,0.95,1.59,0.98,8.74,-18.66
"Tray9-C9","(Sample)","samples",FALSE,0.07,3.73,5.57,2.36,6.54,-21.03
"Tray9-C10","(Sample)","samples",FALSE,0.05,3.89,5.81,1.08,13.11,-13.98
"Tray9-C11","(Sample)","samples",FALSE,0.05,2.86,4.33,1,13.11,-13.99
"Tray9-C12","(Sample)","samples",FALSE,0.06,2.33,3.57,1.11,25.85,-0.34
"Tray9-D1","(Sample)","samples",FALSE,0.07,1.1,1.82,0.93,33.48,7.82
"Tray9-D2","(Sample)","samples",FALSE,0.06,2.83,4.29,0.85,34.37,8.78
"Tray9-D5","(Sample)","samples",FALSE,0.05,0.53,0.99,1.08,11.72,-15.48
"Tray9-D6","(Sample)","samples",FALSE,0.05,1.56,2.47,0.84,14.3,-12.71
"Tray9-D7","(Sample)","samples",FALSE,0.06,-3.5,-4.78,0.77,14.27,-12.74
"Tray9-D8","(Sample)","samples",FALSE,0.05,1.37,2.2,1.44,8.52,-18.9
"Tray9-D9","(Sample)","samples",FALSE,0.04,0.41,0.82,0.94,10.91,-16.34
"Tray9-D10","(Sample)","samples",FALSE,0.05,1.57,2.48,1.03,11.9,-15.28
"Tray10-A9","(Sample)","samples",FALSE,0.04,1.46,2.33,0.61,0.6,-27.37
"Tray10-A10","(Sample)","samples",FALSE,0.04,2.9,4.4,0.54,0.31,-27.69
"Tray10-A11","(Sample)","samples",FALSE,0.04,-0.34,-0.26,0.49,0.18,-27.83
"Tray10-A12","(Sample)","samples",FALSE,0.03,1.91,2.97,0.58,0.37,-27.62
"Tray10-B1","(Sample)","samples",FALSE,0.05,1.28,2.06,0.51,0.12,-27.9
"Tray10-B2","(Sample)","samples",FALSE,0.04,0.8,1.38,0.62,0.49,-27.49
"Tray10-B5","(Sample)","samples",FALSE,0.04,0.23,0.56,0.57,0.67,-27.31
"Tray10-B6","(Sample)","samples",FALSE,0.03,-0.87,-1.01,0.49,0.33,-27.67
"Tray10-B7","(Sample)","samples",FALSE,0.03,0.1,0.38,0.54,0.52,-27.46
"Tray10-B8","(Sample)","samples",FALSE,0.05,2.03,3.14,0.61,0.52,-27.47
"Tray10-B9","(Sample)","samples",FALSE,0.04,4.01,5.98,0.52,0.66,-27.31
"Tray10-B10","(Sample)","samples",FALSE,0.04,1.8,2.81,0.66,0.14,-27.88
"Tray10-C1","(Sample)","samples",FALSE,0.03,-0.9,-1.05,0.74,0.42,-27.57
"Tray10-C2","(Sample)","samples",FALSE,0.03,1.78,2.78,0.6,0.08,-27.94
"Tray10-C3","(Sample)","samples",FALSE,0.04,1.8,2.81,0.61,0.95,-27.01
"Tray10-C4","(Sample)","samples",FALSE,0.05,2.06,3.18,0.72,9.07,-18.31
"Tray10-C5","(Sample)","samples",FALSE,0.04,-4.82,-6.67,0.68,10.99,-16.26
"Tray10-C6","(Sample)","samples",FALSE,0.05,0.72,1.27,0.63,10.41,-16.88
"Tray10-C9","(Sample)","samples",FALSE,0.04,3.41,5.12,0.7,9.02,-18.37
"Tray10-C10","(Sample)","samples",FALSE,0.05,1.24,2.01,0.69,8.45,-18.97
"Tray10-C11","(Sample)","samples",FALSE,0.05,1.93,3,0.64,7.4,-20.1
"Tray10-C12","(Sample)","samples",FALSE,0.04,1.11,1.82,0.58,9.56,-17.79
"Tray10-D1","(Sample)","samples",FALSE,0.03,-1.43,-1.82,0.57,11.03,-16.22
"Tray10-D2","(Sample)","samples",FALSE,0.04,1.24,2.01,0.7,13.47,-13.61
"Tray10-D5","(Sample)","samples",FALSE,0.06,0.78,1.35,0.82,7.58,-19.91
"Tray10-D6","(Sample)","samples",FALSE,0.05,7.05,10.34,0.61,9.53,-17.82
"Tray10-D7","(Sample)","samples",FALSE,0.04,1.4,2.25,0.62,8.55,-18.87
"Tray10-D8","(Sample)","samples",FALSE,0.05,-0.03,0.19,0.72,9.54,-17.81
"Tray10-D9","(Sample)","samples",FALSE,0.04,-1.23,-1.53,0.59,9.83,-17.5
"Tray10-D10","(Sample)","samples",FALSE,0.04,2.11,3.25,0.55,9.57,-17.78
,,,,0.05,1.73,2.72,1.35,11.71,-15.48
,,,,0.02,2.66,3.82,0.61,14.82,15.86
