"core","weoc_rep","target_mL","wt_filtered_extract_g","notes"
27,"B",,2.39,
27,"C",,2.39,
27,"D1-FTICR",,10.33,
27,"D2",,8.26,
28,"A",,2.23,
28,"B",,2.19,
28,"C",,2.25,
28,"D1-FTICR",,10.44,
28,"D2",,10.63,
29,"A",,2.18,
29,"B",,2.14,
29,"C",,2.39,
29,"D1-FTICR",,10.09,
29,"D2",,7.03,
30,"A",,2.25,
30,"B",,2.1,
30,"C",,2.3,
30,"D1-FTICR",,10.35,
30,"D2",,6.3,
31,"A",,2.16,
31,"B",,2.21,
31,"C",,2.2,
31,"D1-FTICR",,10.32,
31,"D2",,10.07,
32,"A",,2.2,
32,"B",,2.33,
32,"C",,2.18,
32,"D1-FTICR",,10.21,
32,"D2",,9.83,
33,"A",,2.32,
33,"B",,2.36,
33,"C",,2.22,
33,"D1-FTICR",,10.04,
33,"D2",,10.12,
34,"A",,2.35,
34,"B",,2.33,
34,"C",,2.34,
34,"D1-FTICR",,10.17,
34,"D2",,10.26,
35,"A",,2.19,
35,"B",,2.37,
35,"C",,2.27,
35,"D1-FTICR",,10.11,
35,"D2",,10.21,
36,"A",,2.27,
36,"B",,2.46,"a- labels came off tubes dyring lyophilization, so guess-assigned the sample no."
36,"C",,2.28,
36,"D1-FTICR",,10.51,
36,"D2",,10.52,
37,"A",,2.32,
37,"B",,2.31,
37,"C",,2.18,
37,"D1-FTICR",,10.59,
37,"D2",,10.31,
38,"A",,2.29,
38,"B",,2.22,
38,"C",,2.28,"c- labels came off tubes dyring lyophilization, so guess-assigned the sample no."
38,"D1-FTICR",,10.48,
38,"D2",,10.66,
39,"A",,2.34,
39,"B",,2.31,"a- labels came off tubes dyring lyophilization, so guess-assigned the sample no."
39,"C",,2.34,"b- labels came off tubes dyring lyophilization, so guess-assigned the sample no."
39,"D1-FTICR",,10.38,
39,"D2",,10.66,
40,"A",,2.41,
40,"B",,2.39,
40,"C",,2.33,"a- labels came off tubes dyring lyophilization, so guess-assigned the sample no."
40,"D1-FTICR",,10.26,
40,"D2",,10.51,
41,"A",,2.23,
41,"B",,2.14,
41,"C",,2.3,
41,"D1-FTICR",,10.69,
41,"D2",,10.29,
42,"A",,2.38,
42,"B",,2.26,
42,"C",,2.15,
42,"D1-FTICR",,10.54,
42,"D2",,10.27,
43,"A",,2.4,
43,"B",,2.18,
43,"C",,2.14,
43,"D1-FTICR",,10.38,
43,"D2",,10.19,
44,"A",,2.44,
44,"B",,2.16,
44,"C",,2.23,
44,"D1-FTICR",,10.08,
44,"D2",,10.41,
45,"A",,2.42,
45,"B",,2.19,
45,"C",,2.13,
45,"D1-FTICR",,10.36,
45,"D2",,10.42,
,"C",,2.16,
,"D1-FTICR",,10.17,
,"D2",,12.42,
,"C",,2.39,
,"D1-FTICR",,10.31,
,"D2",,10.41,
,"C",,2.35,
,"D1-FTICR",,10.25,
,"D2",,10.53,
